Name,Power,Accuracy,Damage Class,Description,Effect
Vuelo,90.0,95.0,physical,"Primer turno: vuela. Segundo turno: ataca. Fuera
de combate, permite ir a sitios ya conocidos.","Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk."
Atadura,15.0,85.0,physical,Ata y oprime de cuatro a cinco turnos.,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
Atizar,80.0,75.0,physical,Golpea con las extremidades.,Inflicts regular damage.
Látigo Cepa,45.0,100.0,physical,Azota al objetivo con ramas finas.,Inflicts regular damage.
Pisotón,65.0,100.0,physical,"Tremendo pisotón que puede hacer retroceder
al objetivo.","Inflicts regular damage.  Has a 30% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field."
Doble Patada,30.0,100.0,physical,Una patada doble. Golpea dos veces.,Inflicts regular damage.  Hits twice in one turn.
Megapatada,120.0,75.0,physical,Patada de extrema fuerza.,Inflicts regular damage.
Patada Salto,100.0,95.0,physical,"Da un salto y pega una patada. Si falla, se lesiona.","Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect."
Patada Giro,60.0,85.0,physical,"Da una patada rápida y circular.
Puede hacer retroceder al objetivo.",Inflicts regular damage.  Has a 30% chance to make the target flinch.
Ataque Arena,,100.0,status,Arroja arena a la cara y baja la Precisión.,Lowers the target's accuracy by one stage.
Golpe Cabeza,70.0,100.0,physical,"Lanza un potente cabezazo que puede hacer
retroceder al objetivo.",Inflicts regular damage.  Has a 30% chance to make the target flinch.
Cornada,65.0,100.0,physical,Ataca al objetivo con una cornada.,Inflicts regular damage.
Ataque Furia,15.0,85.0,physical,Cornea al objetivo de dos a cinco veces.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
Perforador,,30.0,physical,"Ataque con taladro que fulmina en un golpe al
objetivo si le toca.","Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
Placaje,40.0,100.0,physical,Embiste con todo el cuerpo.,Inflicts regular damage.
Golpe Cuerpo,85.0,100.0,physical,"Salta sobre el objetivo con todo su peso. Puede
paralizar.",Inflicts regular damage.  Has a 30% chance to paralyze the target.
Constricción,15.0,90.0,physical,"Oprime al objetivo de cuatro a cinco turnos con
ramas o con su cuerpo.","Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
Derribo,90.0,85.0,physical,Carga desmedida que también hiere al agresor.,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
Golpe,120.0,100.0,physical,"Ataca de dos a tres turnos y acaba confundiendo
al agresor.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move."
Doble Filo,120.0,100.0,physical,Ataque arriesgado que también hiere al agresor.,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
Látigo,,100.0,status,Agita la cola para bajar la Defensa del equipo rival. ,Lowers the target's Defense by one stage.
Picotazo Veneno,15.0,100.0,physical,"Lanza un aguijón tóxico que puede envenenar
al objetivo.",Inflicts regular damage.  Has a 30% chance to poison the target.
Doble Ataque,25.0,100.0,physical,"Pincha dos veces con dos espinas. Puede
envenenar.",Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target.
Pin Misil,25.0,95.0,physical,Lanza finas púas que hieren de dos a cinco veces.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
Malicioso,,100.0,status,Intimida a los rivales para bajar su Defensa.,Lowers the target's Defense by one stage.
Mordisco,60.0,100.0,physical,"Un voraz bocado que puede hacer retroceder
al objetivo.",Inflicts regular damage.  Has a 30% chance to make the target flinch.
Gruñido,,100.0,status,"Dulce gruñido que reduce el Ataque del
contrincante.",Lowers the target's Attack by one stage.
Rugido,,,status,"Se lleva al objetivo, que es cambiado por otro
Pokémon. Si es un Pokémon salvaje, acaba el
combate.","Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction cups or under the effect of ingrain."
Canto,,55.0,status,"Cancioncilla que hace dormir profundamente al
objetivo.",Puts the target to sleep.
Supersónico,,55.0,status,Raras ondas sónicas que confunden al objetivo.,Confuses the target.
Bomba Sónica,,90.0,special,"Lanza ondas de choque que restan 20 PS al
objetivo.",Inflicts exactly 20 damage.
Anulación,,100.0,status,"Desactiva el último movimiento del objetivo
durante cuatro turnos.","Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail."
Ácido,40.0,100.0,special,"Rocía a los enemigos con un ácido corrosivo.
Puede bajar la Defensa Especial.",Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
Ascuas,40.0,100.0,special,"Ataca con llamas pequeñas que pueden causar
quemaduras.",Inflicts regular damage.  Has a 10% chance to burn the target.
Lanzallamas,90.0,100.0,special,"Ataca con una gran ráfaga de fuego que puede
causar quemaduras.",Inflicts regular damage.  Has a 10% chance to burn the target.
Neblina,,,status,"Rodea de fina niebla al usuario y protege las
características de su equipo durante cinco turnos.","Pokémon on the user's side of the field are immune to stat-lowering effects for five turns.

guard swap, heart swap, and power swap may still be used.

defog used by an opponent will end this effect."
Pistola Agua,40.0,100.0,special,Ataca disparando agua con gran potencia.,Inflicts regular damage.
Hidrobomba,110.0,80.0,special,"Lanza una gran masa de agua a presión para
atacar.",Inflicts regular damage.
Surf,90.0,100.0,special,"Inunda el campo de batalla con una ola gigante.
Fuera de batalla sirve para moverse sobre el agua.","Inflicts regular damage.

If the target is in the first turn of dive, this move will hit with double power."
Rayo Hielo,90.0,100.0,special,Rayo de hielo que puede llegar a congelar.,Inflicts regular damage.  Has a 10% chance to freeze the target.
Ventisca,110.0,70.0,special,Tormenta de hielo que puede llegar a congelar.,"Inflicts regular damage.  Has a 10% chance to freeze the target.

During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect."
Psicorrayo,65.0,100.0,special,Extraño rayo que puede causar confusión.,Inflicts regular damage.  Has a 10% chance to confuse the target.
Rayo Burbuja,65.0,100.0,special,Diluvio de burbujas que puede bajar la Velocidad.,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.
Rayo Aurora,65.0,100.0,special,Rayo multicolor que puede reducir el Ataque.,Inflicts regular damage.  Has a 10% chance to lower the target's Attack by one stage.
Hiperrayo,150.0,90.0,special,"Es eficaz, pero el atacante deberá descansar en
el siguiente turno.","Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
Picotazo,35.0,100.0,physical,Ensarta al objetivo con un cuerno o pico punzante. ,Inflicts regular damage.
Pico Taladro,80.0,100.0,physical,Picotazo giratorio y perforador muy potente.,Inflicts regular damage.
Sumisión,80.0,80.0,physical,Tira al objetivo al suelo. También hiere al agresor.,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
Patada Baja,,100.0,physical,"Patada baja. Cuanto más pesa el objetivo, más
daño causa.","Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
"
Contraataque,,100.0,physical,Devuelve un golpe físico por duplicado.,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome."
Sísmico,,100.0,physical,"La gravedad derriba al objetivo. Se restarán tantos
PS como nivel tenga el agresor.","Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
Fuerza,80.0,100.0,physical,"Potente puñetazo. Fuera de combate sirve para
mover rocas.",Inflicts regular damage.
Absorber,20.0,100.0,special,"Absorbe la mitad del daño producido en el objetivo
para restaurar los PS del usuario.",Inflicts regular damage.  Drains half the damage inflicted to heal the user.
Megaagotar,40.0,100.0,special,"Absorbe la mitad del daño producido en el objetivo
para restaurar los PS del usuario.",Inflicts regular damage.  Drains half the damage inflicted to heal the user.
Drenadoras,,90.0,status,"Planta semillas que absorben PS para recuperar la
salud del usuario en cada turno.","Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid ooze.

rapid spin will remove this effect.

This effect is passed on by baton pass."
Desarrollo,,,status,"El cuerpo del usuario crece a marchas forzadas y
aumenta el Ataque y el Ataque Especial.","Raises the user's Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages."
Hoja Afilada,55.0,95.0,physical,Corta con hojas afiladas. Suele ser crítico.,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
Rayo Solar,120.0,100.0,special,"Primer turno: absorbe luz. Segundo turno: lanza
un potente rayo de energía.","Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk."
Polvo Veneno,,75.0,status,Polvo tóxico que envenena al objetivo.,Poisons the target.
Paralizador,,75.0,status,Esparce polvo que paraliza al objetivo.,Paralyzes the target.
Somnífero,,75.0,status,Esparce polvo que duerme al objetivo.,Puts the target to sleep.
Danza Pétalo,120.0,100.0,special,"Lanza pétalos de dos a tres turnos y acaba
confundiendo al atacante.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move."
Disparo Demora,,95.0,status,"Lanza seda a los rivales y reduce mucho su
Velocidad.",Lowers the target's Speed by two stages.
Furia Dragón,,100.0,special,"Ráfaga de furiosas ondas de choque que quitan
40 PS.",Inflicts exactly 40 damage.
Giro Fuego,35.0,85.0,special,"Un aro de fuego que atrapa al objetivo de cuatro
a cinco turnos.","Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
Impactrueno,40.0,100.0,special,Ataque eléctrico que puede paralizar al objetivo.,Inflicts regular damage.  Has a 10% chance to paralyze the target.
Rayo,90.0,100.0,special,"Potente ataque eléctrico que puede paralizar al
objetivo.",Inflicts regular damage.  Has a 10% chance to paralyze the target.
Onda Trueno,,90.0,status,"Una ligera descarga que paraliza al objetivo si lo
alcanza.",Paralyzes the target.
Trueno,110.0,70.0,special,"Un poderoso rayo que daña al objetivo y puede
paralizarlo.","Inflicts regular damage.  Has a 30% chance to paralyze the target.

During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.

During sunny day, this move has 50% accuracy."
Lanzarrocas,50.0,90.0,physical,Tira una pequeña roca al objetivo.,Inflicts regular damage.
Terremoto,100.0,100.0,physical,"Un terremoto que afecta a los Pokémon de
alrededor en combate.","Inflicts regular damage.

If the target is in the first turn of dig, this move will hit with double power."
Fisura,,30.0,physical,"Abre una grieta en el suelo y mete al objetivo en
ella. Fulmina en un golpe.","Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
Excavar,80.0,100.0,physical,"Primer turno: cava. Segundo turno: ataca. También
sirve para salir de ciertas zonas.","Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk."
Tóxico,,90.0,status,"Envenena gravemente al objetivo y causa un daño
mayor en cada turno.",Badly poisons the target.  Never misses when used by a poison-type Pokémon.
Confusión,50.0,100.0,special,"Débil ataque telequinético que puede causar
confusión.",Inflicts regular damage.  Has a 10% chance to confuse the target.
Psíquico,90.0,100.0,special,"Fuerte ataque telequinético que puede bajar la
Defensa Especial del objetivo.",Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
Hipnosis,,60.0,status,"Ataque hipnótico que hace dormir profundamente
al objetivo.",Puts the target to sleep.
Meditación,,,status,"El usuario reposa y medita para potenciar el
Ataque.",Raises the user's Attack by one stage.
Agilidad,,,status,Relaja el cuerpo para ganar mucha Velocidad.,Raises the user's Speed by two stages.
Ataque Rápido,40.0,100.0,physical,Ataque rápido que permite golpear en primer lugar.,Inflicts regular damage.
Furia,20.0,100.0,physical,"Al usarse, aumenta el Ataque del usuario cada vez
que es golpeado.","Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage."
Teletransporte,,,status,"Permite huir al instante de combates contra
Pokémon salvajes o viajar al último Centro
Pokémon visitado.",Does nothing.  Wild battles end immediately.
Tinieblas,,100.0,special,"Produce un espejismo ante el objetivo, que pierde
tantos PS como nivel tenga el agresor.","Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
Mimético,,,status,"Copia el último movimiento usado por el objetivo.
Dicho movimiento se podrá usar mientras el
Pokémon no sea cambiado.","This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.

This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore."
Chirrido,,85.0,status,"Alarido agudo que reduce mucho la Defensa del
objetivo.",Lowers the target's Defense by two stages.
Doble Equipo,,,status,Crea copias de sí mismo para mejorar la Evasión.,Raises the user's evasion by one stage.
Recuperación,,,status,Restaura hasta la mitad de los PS máximos.,Heals the user for half its max HP.
Fortaleza,,,status,"Tensa la musculatura del usuario para aumentar
la Defensa.",Raises the user's Defense by one stage.
Reducción,,,status,El usuario mengua para aumentar mucho la Evasión.,"Raises the user's evasion by two stages.

stomp and steamroller have double power against Pokémon that have used this move since entering the field."
Pantalla de Humo,,100.0,status,"Baja la Precisión del objetivo con una nube de
humo o tinta.",Lowers the target's accuracy by one stage.
Rayo Confuso,,100.0,status,Rayo siniestro que confunde al objetivo.,Confuses the target.
Refugio,,,status,"El usuario se protege en su coraza y sube la
Defensa.",Raises the user's Defense by one stage.
Rizo Defensa,,,status,"Se enrosca para ocultar su punto débil. Sube la
Defensa.","Raises user's Defense by one stage.

After this move is used, the power of ice ball and rollout are doubled until the user leaves the field."
Barrera,,,status,Crea una barrera que aumenta mucho la Defensa.,Raises the user's Defense by two stages.
Pantalla de Luz,,,status,"Pared de luz que reduce durante cinco turnos el
daño producido por los ataques especiales.","Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier."
Niebla,,,status,"Neblina que elimina los cambios de características
de todos los Pokémon en combate.","Removes stat, accuracy, and evasion modifiers from every Pokémon on the field.

This does not count as a stat reduction for the purposes of clear body or white smoke."
Reflejo,,,status,"Pared de luz que reduce durante cinco turnos el
daño producido por los ataques físicos.","Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier."
Foco Energía,,,status,"Concentra energía para aumentar las posibilidades
de un golpe crítico.","User's critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field, this move will fail.

This effect is passed on by baton pass."
Venganza,,,physical,"Espera dos turnos para atacar con el doble de
potencia del daño recibido.","User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.

This move cannot be selected by sleep talk."
Metrónomo,,,status,"El usuario mueve un dedo y estimula su cerebro
para usar al azar casi cualquier movimiento.","Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.

This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk."
Espejo,,,status,"Contraataca con el mismo movimiento empleado
por el objetivo.","Uses the last move targeted at the user by a Pokémon still on the field.  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field, or if no Pokémon that targeted the user remains on the field, this move will fail.

Moves that failed, missed, had no effect, or were blocked are still copied.

Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acid armor, acupressure, after you, agility, ally switch, amnesia, aqua ring, aromatherapy, aromatic mist, assist, autotomize, barrier, baton pass, belch, belly drum, bide, bulk up, calm mind, camouflage, celebrate, charge, coil, conversion, conversion 2, copycat, cosmic power, cotton guard, counter, crafty shield, curse, defend order, defense curl, destiny bond, detect, doom desire, double team, dragon dance, electric terrain, endure, final gambit, flower shield, focus energy, focus punch, follow me, future sight, geomancy, grassy terrain, gravity, growth, grudge, guard split, hail, happy hour, harden, haze, heal bell, heal order, heal pulse, healing wish, helping hand, hold hands, hone claws, howl, imprison, ingrain, ion deluge, iron defense, kings shield, light screen, lucky chant, lunar dance, magic coat, magnet rise, magnetic flux, mat block, me first, meditate, metronome, milk drink, mimic, minimize, mirror coat, mirror move, mist, misty terrain, moonlight, morning sun, mud sport, nasty plot, nature power, perish song, power split, power trick, protect, psych up, quick guard, quiver dance, rage powder, rain dance, recover, recycle, reflect, reflect type, refresh, rest, rock polish, role play, roost, rototiller, safeguard, sandstorm, shadow blast, shadow bolt, shadow half, shadow rush, shadow shed, shadow sky, shadow storm, shadow wave, sharpen, shell smash, shift gear, sketch, slack off, sleep talk, snatch, soft boiled, spikes, spiky shield, spit up, splash, stealth rock, sticky web, stockpile, struggle, substitute, sunny day, swallow, swords dance, synthesis, tail glow, tailwind, teleport, toxic spikes, transform, water sport, wide guard, wish, withdraw and work up.

This move cannot be selected by assist, metronome, or sleep talk, nor forced by encore."
Autodestrucción,200.0,100.0,physical,"El atacante explota y hiere a todos a su alrededor.
El usuario se debilita de inmediato.","User faints, even if the attack fails or misses.  Inflicts regular damage."
Bomba Huevo,100.0,75.0,physical,Arroja un huevo al objetivo con gran fuerza.,Inflicts regular damage.
Lengüetazo,30.0,100.0,physical,"Una lengua ataca al objetivo. Puede causar
parálisis.",Inflicts regular damage.  Has a 30% chance to paralyze the target.
Polución,30.0,70.0,special,"El objetivo es atacado con gases tóxicos que
pueden llegar a envenenar.",Inflicts regular damage.  Has a 40% chance to poison the target.
Residuos,65.0,100.0,special,"Arroja residuos al objetivo. Puede llegar a
envenenar.",Inflicts regular damage.  Has a 30% chance to poison the target.
Hueso Palo,65.0,85.0,physical,"Aporrea con un hueso. Puede hacer retroceder al
objetivo.",Inflicts regular damage.  Has a 10% chance to make the target flinch.
Llamarada,110.0,85.0,special,"Llama intensa que chamusca y puede causar
quemaduras.",Inflicts regular damage.  Has a 10% chance to burn the target.
Cascada,80.0,100.0,physical,"Embiste con un gran impulso que puede hacer
retroceder. También sirve para remontar cascadas.",Inflicts regular damage.  Has a 20% chance to make the target flinch.
Tenaza,35.0,85.0,physical,"Atrapa y atenaza con fuerza durante cuatro o cinco
turnos.","Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
Rapidez,60.0,,special,"Lanza rayos en forma de estrella que no fallan
nunca.",Inflicts regular damage.  Ignores accuracy and evasion modifiers.
Cabezazo,130.0,100.0,physical,"Primer turno: se prepara y sube la Defensa del
usuario. Segundo turno: da el cabezazo.","Inflicts regular damage.  Raises the user's Defense by one stage.  User then charges for one turn before attacking.

This move cannot be selected by sleep talk."
Clavo Cañón,20.0,100.0,physical,Lanza finas púas que hieren de dos a cinco veces.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
Restricción,10.0,100.0,physical,Constriñe para herir y puede bajar la Velocidad.,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.
Amnesia,,,status,"El usuario olvida sus preocupaciones y aumenta
mucho la Defensa Especial.",Raises the user's Special Defense by two stages.
Kinético,,80.0,status,"Dobla una cuchara para distraer al objetivo y bajar
su nivel de Precisión.",Lowers the target's accuracy by one stage.
Amortiguador,,,status,"Restaura la mitad de los PS máximos del usuario.
Fuera de combate se usa para transferir parte de
sus PS a un aliado.",Heals the user for half its max HP.
Pat. Salto Alta,130.0,90.0,physical,"Salta muy alto y lanza una patada. Si falla, dañará
al usuario.","Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect."
Deslumbrar,,100.0,status,"Intimida y asusta al objetivo con la mirada para
dejarlo paralizado.",Paralyzes the target.
Comesueños,100.0,100.0,special,"Restaura al usuario la mitad del daño causado a un
objetivo dormido.",Fails if not used on a sleeping Pokémon.  Inflicts regular damage.  Drains half the damage inflicted to heal the user.
Gas Venenoso,,90.0,status,"Lanza una nube de gas tóxico a los rivales.
Produce envenenamiento.",Poisons the target.
Bombardeo,15.0,85.0,physical,"Arroja esferas al objetivo entre dos y cinco veces
seguidas.","Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
Chupavidas,80.0,100.0,physical,"Restaura al usuario la mitad del daño causado al
objetivo.",Inflicts regular damage.  Drains half the damage inflicted to heal the user.
Beso Amoroso,,75.0,status,"Con una cara que asusta, da un beso al objetivo y
lo adormece.",Puts the target to sleep.
Ataque Aéreo,140.0,90.0,physical,"Ataque en dos turnos que suele ser crítico. Puede
hacer retroceder al objetivo.","Inflicts regular damage.  User charges for one turn before attacking.  Critical hit chance is one level higher than normal.  Has a 30% chance to make the target flinch.

This move cannot be selected by sleep talk."
Transformación,,,status,"El usuario se transforma en una copia del objetivo,
con los mismos movimientos.","User copies the target's species, weight, type, ability, calculated stats (except HP), and moves.  Copied moves will all have 5 PP remaining.  IVs are copied for the purposes of hidden power, but stats are not recalculated.

choice band, choice scarf, and choice specs stay in effect, and the user must select a new move.

This move cannot be copied by mirror move, nor forced by encore."
Burbuja,40.0,100.0,special,"Lanza burbujas a los contrincantes y puede reducir
su Velocidad.",Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.
